addressLine1,lastSalePrice,time_id,location_id,description_id
3466 Deer Creek Palladian Cir,310000.0,293,383,382
2430 Evalon St,0.0,294,384,383
347 S 300 E,0.0,1,385,384
7825 Cohn St,234000.0,295,220,385
7825 Cohn St,234000.0,295,248,385
187 Walnut Dr,40000.0,198,386,386
2432 Tattersall Dr,120000.0,296,387,82
18 Silk St,0.0,1,388,387
1704 Marlyn Dr,108000.0,297,346,388
5751 W Irving Park Rd,0.0,1,23,1
19607 Lanfranca Dr,669000.0,298,389,389
1B Wilbur St,0.0,1,86,1
533 Mount Olympus Blvd,165000.0,299,272,390
7200 Grace Rd,225000.0,300,147,391
210 Fox Hall Rd,0.0,1,390,1
3278 N Dousman St,0.0,1,391,1
2342 17th Ave NW,305000.0,301,259,392
6732 47th Ave,0.0,1,392,393
46 Nancy Ln,116000.0,302,393,394
2209 Adler Ln,165000.0,303,394,395
1700 W Government St,0.0,1,395,1
11206 Monroe Ct,0.0,304,49,396
3407 Macdonald Ave,0.0,1,192,1
1324 N 26th St,0.0,1,111,397
6619 S Kedvale Ave,203000.0,305,23,398
2811 Highway,50000.0,306,396,399
504 Scott St,0.0,307,397,400
315 Cherokee St,63000.0,308,197,401
2507 Mishas Meadow Way,0.0,1,286,402
5250 Fawn Trl,174500.0,309,398,403
5567 Butternut St,0.0,310,64,404
8688 Tomnitz Ave,58000.0,311,24,405
8804 Frostwood Ct,310000.0,312,399,406
3812 Verde Vista St S,142000.0,313,179,407
131 Wood St,0.0,1,400,1
788 Riverbrook Ln,0.0,1,401,408
734 Loring Ave,0.0,1,105,1
66 Eaton Pl,0.0,1,402,409
190 Ne Suwannee Trl,170000.0,314,403,410
500 Rams Blvd,0.0,1,404,1
