description_id,propertyType,bathrooms,bedrooms,yearBuilt,squareFootage,lotSize
345,Single Family,3.0,6.0,1999,3417.0,6098.0
346,Single Family,3.0,4.0,2002,2026.0,3960.0
347,Single Family,3.0,5.0,0,3155.0,20033.0
348,Single Family,1.0,0.0,1954,1000.0,8119.0
349,Single Family,2.0,2.0,2005,1720.0,14089.0
350,Single Family,2.0,2.0,1988,1284.0,5227.0
351,Apartment,1.0,1.0,0,591.0,0.0
352,Apartment,0.0,0.0,0,0.0,0.0
353,Single Family,2.5,4.0,1985,1994.0,7623.0
354,Single Family,3.0,0.0,1965,2648.0,0.0
355,Single Family,2.0,3.0,2002,1374.0,0.0
356,Single Family,1.5,3.0,1990,1576.0,9823.0
357,Single Family,1.0,3.0,1947,1174.0,22965.0
358,Single Family,2.5,3.0,2005,2205.0,4295.0
359,Single Family,2.0,0.0,1997,1895.0,17424.0
360,Single Family,1.0,3.0,1956,975.0,10563.0
361,Single Family,1.0,3.0,1976,1660.0,8254.0
362,Townhouse,3.0,3.0,1980,1644.0,2178.0
363,Single Family,2.5,3.0,1988,1422.0,4172.0
364,Single Family,2.5,3.0,1966,1718.0,18825.0
365,Single Family,3.0,4.0,1979,2610.0,14244.0
366,Single Family,3.0,3.0,1996,1658.0,43560.0
367,Single Family,1.0,1.0,1900,800.0,56192.0
368,Single Family,2.0,3.0,1996,1454.0,36590.0
369,Single Family,2.0,3.0,1942,1028.0,4792.0
370,Single Family,2.0,3.0,1920,2268.0,5841.0
371,Single Family,2.0,4.0,1990,1818.0,6387.0
372,Condo,2.5,2.0,1989,1024.0,0.0
373,Single Family,1.0,2.0,1907,920.0,3600.0
374,Single Family,1.0,3.0,1987,1440.0,7405.0
375,Single Family,3.5,4.0,1994,4044.0,22869.0
376,Single Family,2.0,4.0,2001,2430.0,8015.0
377,Land,0.0,0.0,0,0.0,9148.0
378,Condo,2.0,3.0,1993,1692.0,43560.0
379,Single Family,1.0,3.0,0,1008.0,87120.0
380,Single Family,3.0,3.0,1972,1280.0,2288.0
381,Single Family,1.0,0.0,1979,2098.0,7900.0
382,Single Family,3.0,3.0,1987,2059.0,7841.0
383,Single Family,1.5,3.0,1963,2250.0,17424.0
384,Single Family,2.0,3.0,1963,1926.0,20909.0
385,Multi-Family,2.0,3.0,1947,1698.0,4866.0
386,Single Family,1.0,6.0,1900,1951.0,3468.0
387,Single Family,1.5,2.0,1957,1008.0,15638.0
388,Single Family,3.0,4.0,2017,1588.0,13068.0
389,Single Family,1.5,2.0,1980,1250.0,0.0
390,Single Family,2.0,0.0,1983,1872.0,6185.0
391,Single Family,3.0,4.0,1969,2368.0,16988.0
392,Single Family,3.0,4.0,2018,2680.0,7841.0
393,Manufactured,0.0,0.0,1982,896.0,0.0
394,Single Family,3.0,0.0,1985,1122.0,1012.0
395,Single Family,3.5,4.0,2008,3701.0,7645.0
396,Single Family,4.5,4.0,1979,2658.0,31799.0
397,Multi-Family,2.0,2.0,1985,935.0,3615.0
398,Single Family,2.0,4.0,1950,1441.0,5140.0
399,Single Family,3.0,1.0,1910,3500.0,80463.0
400,Single Family,1.0,3.0,1957,1100.0,7405.0
401,Single Family,2.0,4.0,2004,3242.0,6098.0
402,Single Family,2.5,4.0,2013,2417.0,5641.0
403,Single Family,1.0,3.0,1935,1315.0,6970.0
404,Condo,2.5,2.0,1989,1344.0,0.0
405,Single Family,2.0,3.0,1977,1337.0,6000.0
406,Condo,1.0,1.0,1870,520.0,520.0
407,Condo,1.0,3.0,1920,1344.0,871.0
408,Single Family,2.0,0.0,2015,2824.0,12632.0
